id,country,item,year,yield_kg_ha
427,Malaysia,Oranges,1974,5000
428,Malaysia,Oranges,1975,5000
429,Malaysia,Oranges,1976,5000
430,Malaysia,Oranges,1977,4977.8
431,Malaysia,Oranges,1978,5000
432,Malaysia,Oranges,1979,5000
433,Malaysia,Oranges,1980,5000
434,Malaysia,Oranges,1981,5000
435,Malaysia,Oranges,1982,5000
436,Malaysia,Oranges,1983,5000
437,Malaysia,Oranges,1984,5000
438,Malaysia,Oranges,1985,5466.7
439,Malaysia,Oranges,1986,5533.3
440,Malaysia,Oranges,1987,5500
441,Malaysia,Oranges,1988,5555.6
442,Malaysia,Oranges,1989,6000
443,Malaysia,Oranges,1990,5216.5
444,Malaysia,Oranges,1991,6082.9
445,Malaysia,Oranges,1992,6000
446,Malaysia,Oranges,1993,6000
447,Malaysia,Oranges,1994,6000
448,Malaysia,Oranges,1995,6000
449,Malaysia,Oranges,1996,6111.1
450,Malaysia,Oranges,1997,6213.2
451,Malaysia,Oranges,1998,6218.6
452,Malaysia,Oranges,1999,6000
453,Malaysia,Oranges,2000,6292.8
454,Malaysia,Oranges,2001,6359.2
455,Malaysia,Oranges,2002,6584.2
456,Malaysia,Oranges,2003,6715.7
457,Malaysia,Oranges,2004,6811.8
458,Malaysia,Oranges,2005,6982.6
459,Malaysia,Oranges,2006,7132.6
460,Malaysia,Oranges,2007,7781
461,Malaysia,Oranges,2008,8070.6
462,Malaysia,Oranges,2009,8221.2
463,Malaysia,Oranges,2010,8238.8
464,Malaysia,Oranges,2011,4471.3
465,Malaysia,Oranges,2012,5430
466,Malaysia,Oranges,2013,6005.8
467,Malaysia,Oranges,2014,5606.1
468,Malaysia,Oranges,2015,9456.5
469,Malaysia,Oranges,2016,8637.1
470,Malaysia,Oranges,2017,8731
471,Malaysia,Oranges,2018,9863.8
472,Malaysia,Oranges,2019,9061.7
